"","iso_code","country_name","world_region","past_cases","date","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","StringencyLegacyIndex","StringencyLegacyIndexForDisplay","GovernmentResponseIndex","GovernmentResponseIndexForDisplay","ContainmentHealthIndex","ContainmentHealthIndexForDisplay","EconomicSupportIndex","EconomicSupportIndexForDisplay"
"106","MMR","Myanmar","Asia and the Pacific",1.2,2020-07-29,0.8,0,0.0146,0,1425.33333333333,0.0263333333333333,1161.66666666667,0.0216666666666667,NA,76.85,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,353,6,6.488,0.11,NA,NA,"3","1","2","0","2","1","4","1","2","0","2","0","2","0","3","0",NA,"0","0","0","2","1","2","1","0","0",NA,"341","6","80.56","80.56","79.76","79.76","64.74","64.74","76.52","76.52","0","0"
"107","MNG","Mongolia","Asia and the Pacific",0.2,2020-07-29,0.6,0,0.183,0,NA,NA,NA,NA,NA,60.19,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,291,0,88.766,0,NA,NA,"3","1","2","1","2","1","0","1","0",NA,"0",NA,"2","0","4","0",NA,"2","0","0","2","1","2","2","0","0",NA,"220","0","60.19","60.19","77.38","77.38","62.18","62.18","64.39","64.39","50","50"
"108","MOZ","Mozambique","Africa",20.2,2020-07-29,38.4,0,1.2288,0,NA,NA,NA,NA,NA,75,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,1808,11,57.846,0.352,NA,NA,"3","1","2","1","2","1","3","1","1","1","1","1","2","1","2","0",NA,"0","0","0","2","1","1","2","0","0",NA,"889","11","75","75","84.52","84.52","62.18","62.18","73.48","73.48","0","0"
"109","MRT","Mauritania","Africa",82,2020-07-29,40.6,0,8.7316,0,NA,NA,NA,NA,NA,29.63,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,NA,NA,15.95,NA,64.92,6270,156,1348.486,33.551,NA,NA,"2","1","0","1","0","1","0","1","0","1","0","1","0","1","4","1","1","1","0","0","2","1","1","2","0","0",NA,"5446","156","29.63","29.63","39.29","39.29","38.46","38.46","36.36","36.36","50","50"
"110","MUS","Mauritius","Africa",0,2020-07-29,0,0,0,0,NA,NA,NA,NA,NA,NA,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,344,10,270.49,7.863,NA,NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"4","2","1","1","0","0","2","1","3","2","0","0",NA,"342","10","22.22","22.22","28.57","28.57","42.31","42.31","36.36","36.36","75","75"
"111","MWI","Malawi","Africa",61,2020-07-29,105.6,4.4,5.5202,0.23,NA,NA,NA,NA,NA,57.41,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,3981,109,208.103,5.698,NA,NA,"3","1","1","1","2","1","3","1","0",NA,"1","1","0",NA,"3","2","1","2","0","0","2","1","1","2","0","0",NA,"3453","16","57.41","57.41","67.86","67.86","65.38","65.38","59.09","59.09","100","100"
"112","MYS","Malaysia","Asia and the Pacific",7.8,2020-07-29,16,0.2,0.4944,0.0062,6599.8,0.204,6625.6,0.2048,NA,NA,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,76.16,8964,124,276.957,3.831,970644,29.99,"2","1","2","1","2","1","2","1","0",NA,"0",NA,"0",NA,"3","1","1","2","0","0","2","1","3","2","0","0",NA,"8658","121","50.93","50.93","60.71","60.71","62.18","62.18","59.85","59.85","75","75"
"113","NAM","Namibia","Africa",24.4,2020-07-29,73,0.6,28.7298,0.2364,NA,NA,NA,NA,NA,NA,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,NA,63.71,2052,10,807.583,3.936,NA,NA,"2","1","2","1","1","1","2","1","0",NA,"1","1","0","0","4","2","1","1","0","0","2","1","1","2","0","0",NA,"668","0","51.85","60.65","66.67","63.81","57.69","63.78","54.55","61.74","75","75"
"114","NER","Niger","Africa",3.2,2020-07-29,2,0,0.0826,0,NA,NA,NA,NA,NA,22.22,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,1134,69,46.847,2.85,NA,NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"4","0",NA,"1","0","0","2","1","1","1","0","0",NA,"1099","69","22.22","22.22","28.57","28.57","25.64","25.64","25.76","25.76","25","25"
"115","NGA","Nigeria","Africa",616,2020-07-29,542.4,4.4,2.6312,0.0214,4274,0.021,5827.5,0.02825,NA,68.06,206139587,209.588,18.1,2.751,1.447,5338.454,NA,181.013,2.42,0.6,10.8,41.949,NA,54.69,42689,878,207.088,4.259,NA,NA,"3","1","2","1","2","1","3","0","0",NA,"1","1","1","1","4","0",NA,"0","0","0","2","1","2","2","0","0",NA,"25694","590","68.06","68.06","77.38","77.38","59.94","59.94","70.83","70.83","0","0"
"116","NIC","Nicaragua","Latin America and the Caribbean",69.8,2020-07-29,46.6,1.6,7.0344,0.2416,NA,NA,NA,NA,NA,16.67,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,NA,NA,NA,0.9,74.48,3672,116,554.301,17.511,NA,NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"2","0",NA,"0","0","0","2","1","1","0","0","0",NA,"2519","83","16.67","16.67","21.43","21.43","14.1","14.1","16.67","16.67","0","0"
"117","NLD","Netherlands","Europe",71.8,2020-07-29,246.2,1.4,14.3682,0.0816,NA,NA,NA,NA,NA,39.81,17134873,508.544,43.2,18.779,11.881,48472.545,NA,109.361,5.29,24.4,27.3,NA,3.32,82.28,53963,6147,3149.308,358.742,NA,NA,"1","1","2","1","0",NA,"2","1","0",NA,"1","1","0",NA,"3","2","0","1","0","0","2","1","2","1","0","0",NA,"50273","6135","39.81","39.81","58.57","58.57","46.15","46.15","43.18","43.18","62.5","62.5"
"118","NOR","Norway","Europe",14.4,2020-07-29,17.4,0,3.2096,0,4822,0.889,3273,0.604,NA,34.26,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,NA,3.6,82.4,9172,255,1691.863,47.037,NA,NA,"0",NA,"1","1","0",NA,"2","1","0",NA,"0",NA,"1","1","3","2","0","2","0","0","2","1","2","2","0","0",NA,"8895","255","34.26","34.26","50.24","50.24","50","50","43.18","43.18","87.5","87.5"
"119","NPL","Nepal","Asia and the Pacific",480.4,2020-07-29,212.8,1.4,7.3036,0.048,5295.66666666667,0.181666666666667,4144,0.142333333333333,NA,78.7,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,19547,52,670.87,1.785,NA,NA,"3","1","2","1","2","1","4","1","2","1","2","1","2","1","4","1","1","1","0","0","2","1","1","2","0","0",NA,"15964","35","92.59","92.59","96.43","96.43","82.05","82.05","87.88","87.88","50","50"
"120","NZL","New Zealand","Asia and the Pacific",1.6,2020-07-29,0.8,0,0.1658,0,2209.75,0.45825,1932.5,0.40075,NA,22.22,4822233,18.206,37.9,15.322,9.72,36085.843,NA,128.797,8.08,14.8,17.2,NA,2.61,82.29,1210,22,250.921,4.562,NA,NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"4","2","0","2","0","0","2","1","2","2","0","0",NA,"1206","22","22.22","22.22","28.57","28.57","41.67","41.67","33.33","33.33","87.5","87.5"
"121","OMN","Oman","West Asia",1033.6,2020-07-29,860.2,10,168.4478,1.958,2165.5,0.424,3079.5,0.603,NA,94.44,5106622,14.98,30.7,2.355,1.53,37960.709,NA,266.342,12.61,0.5,15.6,97.4,1.6,77.86,79159,421,15501.245,82.442,NA,NA,"3","1","2","1","2","1","4","1","2","1","2","0","2","0","4","2","0","1","0","0","2","1","2","2","0","0",NA,"40070","176","87.96","87.96","91.67","91.67","83.33","83.33","87.12","87.12","62.5","62.5"
"122","PAK","Pakistan","Asia and the Pacific",3545,2020-07-29,1038.4,25.8,4.7008,0.1168,26264.25,0.119,24693.75,0.11175,NA,NA,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,278305,5951,1259.912,26.941,NA,NA,"3","1","2","0","2","0","4","1","0",NA,"2","0","2","0","2","1","1","2","0","0","2","1","2","1","0","0",NA,"213470","4395","66.67","66.67","66.67","66.67","66.67","66.67","65.15","65.15","75","75"
"123","PAN","Panama","Latin America and the Caribbean",902.6,2020-07-29,1065.4,24.4,246.9192,5.655,2965.33333333333,0.687333333333333,3131.66666666667,0.726,NA,80.56,4314768,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,NA,2.3,78.51,64191,1397,14877.046,323.772,NA,NA,"3","1","2","1","2","1","3","1","1","1","3","0","2","0","4","1","0","2","0","0","2","1","2","1","0","0",NA,"33550","631","83.33","83.33","88.1","88.1","76.28","76.28","78.79","78.79","62.5","62.5"
"124","PER","Peru","Latin America and the Caribbean",3322.2,2020-07-29,5521.6,198.2,167.4642,6.011,4146,0.125666666666667,4926.75,0.14975,NA,NA,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74,407492,19021,12358.786,576.886,NA,NA,"3","0","2","0","2","1","4","1","1","0","2","0","2","0","4","1","1","2","0","0","2","1","2","2","0","0",NA,"285213","9677","75.93","75.93","75","75","76.92","76.92","77.27","77.27","75","75"
"125","PHL","Philippines","Asia and the Pacific",889,2020-07-29,2192.4,17.2,20.0072,0.157,35481,0.324,28774.25,0.26275,NA,NA,109581085,351.873,25.2,4.803,2.661,7599.188,NA,370.437,7.07,7.8,40.8,78.463,1,71.23,89374,1983,815.597,18.096,NA,NA,"3","1","2","1","2","1","4","1","1","1","3","0","1","1","2","1","0","1","0","0","2","1","3","2","0","0",NA,"41830","1290","77.78","77.78","80.95","80.95","75","75","81.82","81.82","37.5","37.5"
"126","PNG","Papua New Guinea","Asia and the Pacific",0,2020-07-29,6.6,0.4,0.7378,0.0448,NA,NA,NA,NA,NA,45.37,8947027,18.22,22.6,3.808,2.142,3823.194,NA,561.494,17.65,23.5,48.8,NA,NA,64.5,72,2,8.047,0.224,NA,NA,"0",NA,"1","1","2","1","3","1","1","1","0",NA,"0",NA,"2","1","1","1","0","0","2","1","2","1","0","0",NA,"11","0","45.37","45.37","52.38","52.38","48.08","48.08","47.73","47.73","50","50"
"127","POL","Poland","Europe",254.8,2020-07-29,481.8,9,12.7302,0.2378,20977.75,0.55425,17962,0.4744,NA,NA,37846605,124.027,41.8,16.763,10.202,27216.445,NA,227.331,5.91,23.3,33.1,NA,6.62,78.73,45031,1709,1189.829,45.156,1931574,51.037,"2","1","2","1","0","1","2","1","0","1","0",NA,"0",NA,"3","1","0","1","0","0","2","1","2","2","0","0",NA,"34393","1463","50.93","34.26","65.48","46.43","53.85","42.31","56.82","43.18","37.5","37.5"
"128","PRI","Puerto Rico","Latin America and the Caribbean",117.6,2020-07-29,406.4,2.6,142.0562,0.9088,NA,NA,NA,NA,NA,NA,2860840,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,16572,214,5792.704,74.803,NA,NA,"3","1","1","1","1","1","3","1","2","1","2","1","0",NA,"3","1","1","2","0","0","2","1","1","2","0","0",NA,"8904","153","66.67","64.81","82.86","79.29","67.95","66.67","66.67","65.15","75","75"
"129","PRT","Portugal","Europe",345.2,2020-07-29,182.6,2.2,17.9078,0.2156,14972.5,1.4685,13488.5,1.323,NA,71.76,10196707,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,82.05,50868,1727,4988.669,169.368,NA,NA,"2","0","2","1","2","1","4","0","1","1","2","0","2","0","1","1","1","1","0","0","2","1","3","1","0","0",NA,"42141","1576","71.76","71.76","69.05","76.9","72.76","72.76","72.35","72.35","50","75"
"130","PRY","Paraguay","Latin America and the Caribbean",130.4,2020-07-29,175.8,1.4,24.6478,0.196,1949.75,0.2735,1860.5,0.26125,NA,78.7,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,5207,47,730.035,6.59,NA,NA,"2","0","2","1","2","1","3","1","1","1","2","1","2","0","4","1","1","2","0","0","2","1","1","2","0","0",NA,"2221","20","75.93","75.93","80.95","80.95","74.36","74.36","74.24","74.24","75","75"
"131","PSE","West Bank","Europe",235.4,2020-07-29,405.8,2,79.5466,0.392,NA,NA,NA,NA,NA,NA,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,NA,NA,NA,NA,74.05,14838,84,2908.604,16.466,NA,NA,"3","1","2","0","2","1","3","1","2","0","2","0","2","1","4","0",NA,"2","0","0","2","1","1","1","0","0",NA,"2765","11","83.33","83.33","88.1","88.1","71.79","71.79","75.76","75.76","50","50"
"132","QAT","Qatar","West Asia",850,2020-07-29,284.8,1.4,98.8526,0.4858,4587,1.5922,4500.2,1.5618,NA,NA,2881060,227.322,31.9,1.307,0.617,116935.6,NA,176.69,16.52,0.8,26.9,NA,1.2,80.23,110460,171,38340.055,59.353,495377,171.943,"3","1","2","1","2","1","4","1","2","1","1","1","1","1","3","2","0","0","0","0","2","1","3","2","0","0",NA,"96088","164","80.56","80.56","88.1","88.1","76.92","76.92","84.09","84.09","37.5","37.5"
"133","ROU","Romania","Europe",336.8,2020-07-29,1182.6,27.8,61.473,1.445,24926.5,1.2955,24093.25,1.2525,NA,39.81,19237682,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,76.05,49591,2304,2577.805,119.765,NA,NA,"2","1","1","1","1","1","2","1","0",NA,"1","1","0",NA,"1","2","0","2","0","0","2","1","2","1","0","0",NA,"26970","1651","39.81","39.81","52.38","52.38","50","50","43.18","43.18","87.5","87.5"
"134","RUS","Russia","Europe",6771,2020-07-29,5555.8,122,38.0706,0.836,254873.75,1.7465,266479.5,1.82625,NA,62.5,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,NA,8.05,72.58,834499,13802,5718.314,94.577,NA,NA,"2","0","2","0","2","1","4","0","1","0","2","0","2","0","1","1","0","2","0","0","2","1","3","2","0","0",NA,"771546","12342","62.5","62.5","60.71","60.71","68.27","68.27","69.32","69.32","62.5","62.5"
"135","RWA","Rwanda","Africa",35,2020-07-29,48.4,0,3.7368,0,4474,0.3455,4436.5,0.34225,NA,66.67,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,NA,69.02,1994,5,153.951,0.386,NA,NA,"3","1","0",NA,"2","1","3","1","0",NA,"2","0","2","0","4","0",NA,"1","0","0","2","1","3","2","0","0",NA,"1025","5","66.67","66.67","66.67","66.67","65.38","65.38","72.73","72.73","25","25"
"136","SAU","Saudi Arabia","West Asia",4036.8,2020-07-29,1849.2,33.2,53.1168,0.9538,58717,1.6866,56340,1.6182,NA,71.3,34813867,15.322,31.9,3.295,1.845,49045.411,NA,259.538,17.72,1.8,25.4,NA,2.7,75.13,274219,2869,7876.718,82.41,3341253,95.975,"3","1","1","1","2","1","3","1","1","1","1","1","1","1","4","2","0","1","0","0","2","1","3","2","0","0",NA,"190823","1649","71.3","71.3","83.33","83.33","74.36","74.36","76.52","76.52","62.5","62.5"
"137","SDN","Sudan","Africa",54.8,2020-07-29,38.8,2,0.8848,0.0456,NA,NA,NA,NA,NA,71.3,43849269,23.258,19.7,3.548,2.034,4466.507,NA,431.388,15.67,NA,NA,23.437,0.8,65.31,11496,725,262.171,16.534,NA,NA,"3","1","2","0","2","1","3","1","1","1","1","0","2","0","3","1","1","1","0","0","2","1","2","1","0","0",NA,"10527","668","71.3","71.3","79.76","79.76","62.18","62.18","68.94","68.94","50","50"
"138","SEN","Senegal","Africa",112,2020-07-29,110.8,3.4,6.6174,0.203,1354.25,0.08075,1277.75,0.0765,NA,26.85,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,NA,67.94,10106,204,603.562,12.184,NA,NA,"2","1","0",NA,"2","1","2","1","0",NA,"0",NA,"0",NA,"4","1","0","2","0","0","2","1","2","2","0","0",NA,"6793","145","46.3","46.3","53.57","53.57","54.49","54.49","53.03","53.03","62.5","62.5"
"139","SGP","Singapore","Asia and the Pacific",234.2,2020-07-29,384.2,0,65.6714,0,NA,NA,6402,1.094,NA,NA,5850343,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,83.62,51809,27,8855.72,4.615,NA,NA,"2","1","1","1","2","1","4","1","0",NA,"1","1","0",NA,"2","2","1","2","0","0","2","1","2","2","0","0",NA,"44664","27","53.7","53.7","60.71","60.71","65.38","65.38","59.09","59.09","100","100"
"140","SLE","Sierra Leone","Africa",16.2,2020-07-29,10,0.2,1.2534,0.025,NA,NA,NA,NA,NA,44.44,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,NA,54.7,1818,67,227.906,8.399,NA,NA,"3","1","0",NA,"1","1","2","1","0",NA,"0","1","0",NA,"4","0",NA,"1","0","0","2","1","2","2","0","0",NA,"1542","66","44.44","44.44","52.38","52.38","47.44","47.44","51.52","51.52","25","25"
"141","SLV","El Salvador","Latin America and the Caribbean",220.4,2020-07-29,401.8,9.8,61.9468,1.511,2432.75,0.37475,2450.5,0.37775,NA,NA,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,16230,439,2502.235,67.682,NA,NA,"3","1","2","1","2","1","3","1","2","1","2","1","2","1","4","1","1","2","0","0","2","1","3","1","0","0",NA,"6438","210","89.81","89.81","96.43","96.43","85.26","85.26","87.12","87.12","75","75"
"142","SMR","San Marino","Europe",0,2020-07-29,0,0,0,0,NA,NA,NA,NA,NA,40.74,33938,556.667,NA,NA,NA,56861.47,NA,NA,5.64,NA,NA,NA,3.8,84.97,716,42,21097.295,1237.551,NA,NA,"3","1","0","1","1","1","0",NA,"0",NA,"0",NA,"0",NA,"0","1","1","1","0","0","2","1","3","2","0","0",NA,"714","42","27.78","27.78","38.1","38.1","42.31","42.31","40.91","40.91","50","50"
"143","SOM","Somalia","Africa",9.2,2020-07-29,6.8,0,0.428,0,NA,NA,NA,NA,NA,31.48,15893219,23.5,16.8,2.731,1.496,NA,NA,365.769,6.05,NA,NA,9.831,0.9,57.4,3212,93,202.099,5.852,NA,NA,"3","0","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"4","0",NA,"0","0","0","2","1","1","0","0","0",NA,"3178","93","31.48","31.48","39.29","39.29","24.36","24.36","28.79","28.79","0","0"
"144","SRB","Serbia","Europe",238.4,2020-07-29,390,7.8,57.3142,1.1466,9454,1.3896,10024.2,1.4734,NA,42.59,6804596,80.291,41.2,17.366,NA,14048.881,NA,439.415,10.08,37.7,40.2,97.719,5.609,76,25213,565,3705.29,83.032,668984,98.314,"2","1","0",NA,"1","1","0","1","0",NA,"1","0","1","1","0","1","0","1","0","0","2","1","1","2","0","0",NA,"14564","277","42.59","42.59","48.81","48.81","45.51","45.51","46.97","46.97","37.5","37.5"
"145","SSD","S. Sudan","Africa",12.8,2020-07-29,12.8,0.2,1.1434,0.0178,NA,NA,NA,NA,NA,81.94,11193729,NA,19.2,3.441,2.032,1569.888,NA,280.775,10.43,NA,NA,NA,NA,57.85,2322,46,207.438,4.109,NA,NA,"3","1","2","1","2","1","4","0","2","1","1","1","1","1","4","1","1","0","0","0","2","1","1","2","0","0",NA,"2036","41","81.94","81.94","91.67","91.67","70.83","70.83","79.17","79.17","25","25"
"146","SUR","Suriname","Latin America and the Caribbean",28.8,2020-07-29,53.8,0.6,91.7096,1.0228,NA,NA,NA,NA,NA,NA,586634,3.612,29.6,6.933,4.229,13767.119,NA,258.314,12.54,7.4,42.9,67.779,3.1,71.68,1650,26,2812.657,44.321,NA,NA,"3","0","2","0","2","1","4","1","2","1","2","1","2","0","4","0",NA,"2","0","0","2","1","1","1","0","0",NA,"614","18","86.11","86.11","85.71","85.71","73.72","73.72","78.03","78.03","50","50"
"147","SVK","Slovakia","Europe",7.4,2020-07-29,24.8,0,4.5424,0,1617.4,0.2966,1676.4,0.307,NA,NA,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,2265,28,414.862,5.129,261562,47.908,"2","1","0",NA,"0",NA,"2","1","1","0","0",NA,"1","1","2","2","0","2","0","0","2","1","2","2","0","0",NA,"1667","28","37.96","37.96","55","55","52.56","52.56","46.21","46.21","87.5","87.5"
"148","SVN","Slovenia","Europe",10.6,2020-07-29,14.6,0.4,7.0226,0.1924,897.25,0.4315,777.5,0.374,NA,43.52,2078932,102.619,44.5,19.062,12.93,31400.84,NA,153.493,7.25,20.1,25,NA,4.5,81.32,2139,117,1028.894,56.279,NA,NA,"0",NA,"0","1","2","1","2","1","0",NA,"0",NA,"0",NA,"2","1","1","2","0","0","2","1","2","2","0","0",NA,"1600","111","33.33","33.33","35.71","35.71","47.44","47.44","42.42","42.42","75","75"
"149","SWE","Sweden","Europe",912.2,2020-07-29,220.6,8.4,21.8432,0.8316,NA,NA,NA,NA,NA,38.89,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,NA,2.22,82.8,80100,5739,7931.266,568.259,NA,NA,"1","0","1","1","1","1","3","1","0",NA,"0",NA,"0",NA,"3","2","0","1","0","0","2","1","2","1","0","0",NA,"71419","5420","38.89","38.89","47.14","47.14","45.51","45.51","42.42","42.42","62.5","62.5"
"150","SWZ","Swaziland","Africa",21.2,2020-07-29,87,2.4,74.9894,2.0688,NA,NA,NA,NA,NA,NA,1160164,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,2577,40,2221.238,34.478,NA,NA,"2","1","2","1","2","1","3","1","1","1","2","1","2","1","4","0",NA,"1","0","0","2","1","2","1","0","0",NA,"812","13","80.56","80.56","88.1","88.1","68.59","68.59","76.52","76.52","25","25"
"151","SYC","Seychelles","Africa",0,2020-07-29,0,0,0,0,NA,NA,NA,NA,NA,33.33,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,114,0,1159.243,0,NA,NA,"0",NA,"0",NA,"2","1","1","1","0",NA,"0",NA,"0",NA,"3","0",NA,"1","0","0","2","1","2","2","0","0",NA,"100","0","33.33","33.33","39.29","39.29","39.74","39.74","42.42","42.42","25","25"
"152","SYR","Syria","West Asia",7.4,2020-07-29,22.2,1,1.2684,0.057,NA,NA,NA,NA,NA,61.11,17500657,NA,21.7,NA,2.577,NA,NA,376.264,NA,NA,NA,70.598,1.5,72.7,738,41,42.17,2.343,NA,NA,"3","1","2","1","2","1","3","1","0",NA,"1","1","0",NA,"3","0",NA,"0","0","0","2","1","1","0","0","0",NA,"372","14","61.11","61.11","71.43","71.43","44.87","44.87","53.03","53.03","0","0"
"153","TCD","Chad","Africa",0.6,2020-07-29,4,0,0.2436,0,NA,NA,NA,NA,NA,67.59,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,NA,NA,5.818,NA,54.24,935,75,56.922,4.566,NA,NA,"2","1","2","1","2","1","3","1","0",NA,"2","0","1","1","4","0",NA,"2","0","0","2","1","1","1","0","0",NA,"889","75","67.59","67.59","73.81","73.81","60.9","60.9","62.88","62.88","50","50"
"154","TGO","Togo","Africa",12.4,2020-07-29,14.8,0.2,1.7878,0.0242,NA,NA,NA,NA,NA,50.93,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,927,18,111.974,2.174,NA,NA,"2","1","2","1","2","1","2","1","0",NA,"0",NA,"0",NA,"4","1","1","0","0","0","2","1","1","2","0","0",NA,"680","15","53.7","53.7","64.29","64.29","51.28","51.28","56.06","56.06","25","25"
"155","THA","Thailand","Asia and the Pacific",3,2020-07-29,3.8,0,0.0544,0,1975.4,0.0282,2074.8,0.0298,NA,49.07,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,3310,58,47.421,0.831,375346,5.377,"0",NA,"1","1","1","1","2","1","1","0","1","1","2","0","3","2","1","1","0","0","2","1","2","2","0","0",NA,"3195","58","49.07","49.07","55.95","55.95","58.33","58.33","55.3","55.3","75","75"
"156","TJK","Tajikistan","Asia and the Pacific",52.6,2020-07-29,43.2,0.2,4.5294,0.021,NA,NA,NA,NA,NA,NA,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,NA,NA,72.704,4.8,71.1,7366,60,772.308,6.291,NA,NA,"2","1","2","1","2","1","3","1","2","0","0",NA,"2","0","3","1","1","1","0","0","2","1","1","1","0","0",NA,"5954","52","70.37","70.37","79.76","79.76","62.82","62.82","65.15","65.15","50","50"
"157","TLS","East Timor","Asia and the Pacific",0,2020-07-29,0,0,0,0,NA,NA,NA,NA,NA,24.07,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,24,0,18.203,0,NA,NA,"2","1","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"2","2","1","2","0","0","2","1","2","2","0","0",NA,"24","0","24.07","24.07","32.14","32.14","44.87","44.87","34.85","34.85","100","100"
"158","TTO","Trinidad and Tobago","Latin America and the Caribbean",1.4,2020-07-29,3.4,0,2.4294,0,NA,NA,NA,NA,NA,60.19,1399491,266.886,36.2,10.014,5.819,28763.071,NA,228.467,10.97,NA,NA,89.443,3,73.51,164,8,117.185,5.716,NA,NA,"3","1","2","1","2","1","3","1","0",NA,"0",NA,"0",NA,"4","2","1","1","0","0","2","1","2","2","0","0",NA,"133","8","60.19","60.19","67.86","67.86","66.03","58.33","64.39","64.39","75","25"
"159","TUN","Tunisia","Africa",2.4,2020-07-29,14.2,0,1.2016,0,1507.5,0.1275,1014,0.086,NA,NA,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,1514,50,128.103,4.231,NA,NA,"2","1","0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"0",NA,"3","1","1","2","0","0","2","1","1","2","0","0",NA,"1174","50","26.85","26.85","35.71","35.71","40.38","40.38","34.09","34.09","75","75"
