"","iso_code","country_name","world_region","past_cases","date","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","StringencyLegacyIndex","StringencyLegacyIndexForDisplay","GovernmentResponseIndex","GovernmentResponseIndexForDisplay","ContainmentHealthIndex","ContainmentHealthIndexForDisplay","EconomicSupportIndex","EconomicSupportIndexForDisplay"
"30","CAN","Canada","North America",316.4,2020-07-29,448.4,8.8,11.8806,0.2328,58674.5,1.5545,47709.25,1.26425,NA,NA,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,NA,2.5,82.43,115785,8929,3067.79,236.579,NA,NA,"3","0","2","0","2","0","4","0","0",NA,"1","1","2","0","4","2","1","1","0","0","2","1","3","1","0","0",NA,"104193","8591","67.13","67.13","67.38","67.38","69.55","69.55","68.56","68.56","75","75"
"31","CHE","Switzerland","Europe",57.2,2020-07-29,143.6,0.8,16.5922,0.0926,6200.5,0.71625,5118.5,0.5915,NA,36.57,8654618,214.243,43.1,18.436,12.644,57410.166,NA,99.739,5.59,22.6,28.9,NA,4.53,83.78,34933,1703,4036.342,196.774,NA,NA,"0",NA,"1","0","2","1","2","0","0",NA,"0",NA,"0",NA,"3","2","0","0","0","0","2","1","3","1","0","0",NA,"31631","1685","36.57","36.57","42.86","42.86","42.63","42.63","43.56","43.56","37.5","37.5"
"32","CHL","Chile","Latin America and the Caribbean",4065.8,2020-07-29,1988.8,71.4,104.0374,3.7352,19887.8,1.0404,19035,0.9956,NA,86.57,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,353536,9377,18494.043,490.526,1623992,84.954,"3","1","3","0","2","1","4","0","2","0","3","0","2","0","3","2","1","1","0","0","2","1","2","2","0","0",NA,"326539","8347","86.57","86.57","84.52","84.52","84.29","84.29","85.98","85.98","75","75"
"33","CHN","China","Asia and the Pacific",16.8,2020-07-29,221.6,1.4,0.154,0.001,NA,NA,NA,NA,NA,81.94,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,NA,4.34,76.91,87489,4659,60.785,3.237,NA,NA,"3","0","3","0","2","0","4","0","2","0","3","0","2","0","3","1","0","1","0","0","2","1","3","2","0","0",NA,"84785","4641","81.94","81.94","78.1","78.1","77.88","77.88","85.23","85.23","37.5","37.5"
"34","CIV","Ivory Coast","Africa",267,2020-07-29,96.8,1.2,3.6698,0.0456,1116,0.0422,1430.8,0.0542,NA,NA,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,NA,NA,19.351,NA,57.78,15978,100,605.726,3.791,100685,3.817,"0","0","2","1","2","1","3","0","1","0","1","0","2","0","3","1","1","1","0","0","2","1","2","1","0","0",NA,"10966","87","57.87","57.87","64.29","66.67","56.73","64.42","57.95","62.5","50","75"
"35","CMR","Cameroon","Africa",0,2020-07-29,109.4,0.4,4.1212,0.015,NA,NA,NA,NA,NA,NA,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,NA,NA,2.735,1.3,59.29,17255,387,650.007,14.579,NA,NA,"2","1","0",NA,"2","1","3","1","1","1","0",NA,"1","1","4","1","0","1","0","0","2","1","2","1","0","0",NA,"16157","359","60.19","60.19","72.62","72.62","56.41","56.41","59.85","59.85","37.5","37.5"
"36","COD","Congo (Kinshasa)","Africa",125.4,2020-07-29,42,2.4,0.469,0.0268,373.666666666667,0.00433333333333333,467,0.00533333333333333,NA,57.41,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,NA,NA,4.472,NA,60.68,9010,215,100.601,2.401,NA,NA,"3","1","2","0","2","1","3","1","2","0","2","0","2","0","4","0",NA,"2","0","0","2","1","1","1","0","0",NA,"7188","188","80.56","80.56","83.33","83.33","69.87","69.87","73.48","73.48","50","50"
"37","COG","Congo (Brazzaville)","Africa",8.2,2020-07-29,67.6,2,12.2506,0.3626,NA,NA,NA,NA,NA,NA,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,NA,64.57,3376,61,611.806,11.055,NA,NA,"2","1","2","0","2","1","3","1","1","0","2","1","2","0","4","1","1","2","0","0","2","1","1","1","0","0",NA,"1557","47","73.15","73.15","76.19","76.19","68.59","68.59","67.42","67.42","75","75"
"38","COL","Colombia","Latin America and the Caribbean",3449.4,2020-07-29,9045,308.2,177.761,6.057,31228.3333333333,0.614,29529.6666666667,0.580333333333333,NA,NA,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,286020,9810,5621.144,192.796,NA,NA,"3","1","2","1","2","1","4","1","1","1","2","1","2","1","4","1","1","2","0","0","2","1","2","2","0","0",NA,"97846","3334","87.04","87.04","91.67","91.67","84.62","84.62","86.36","86.36","75","75"
"39","CPV","Cape Verde","Africa",44.8,2020-07-29,23,0.2,41.3678,0.3598,NA,NA,NA,NA,NA,NA,555988,135.58,25.7,4.46,3.437,6222.554,NA,182.219,2.42,2.1,16.5,NA,2.1,72.98,2373,23,4268.078,41.368,NA,NA,"3","0","2","0","2","1","4","0","1","0","2","1","2","1","4","1","1","2","0","0","2","1","3","2","0","0",NA,"1553","19","79.17","68.06","79.76","76.19","81.73","74.04","82.95","73.86","75","75"
